"Id Empenho";"Código Empenho";"Código Categoria de Despesa";"Categoria de Despesa";"Código Grupo de Despesa";"Grupo de Despesa";"Código Modalidade de Aplicação";"Modalidade de Aplicação";"Código Elemento de Despesa";"Elemento de Despesa";"Código SubElemento de Despesa";"SubElemento de Despesa";"Descrição";"Quantidade";"Valor Unitário";"Valor Total";"Sequencial";"Valor Atual"
"562289663";"155422264032024NE000003";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"92";"DESPESAS DE EXERCICIOS ANTERIORES";"14";"DIARIAS - CIVIL";"Atender o Termo de Reconhecimento de Divida (TRD) n. 005/2024, emitido em 22/01/2024 em favor de FÁBIO TEIXEIRA LIMA, referente a PCDP 000897/23, que trata da Convocação para 69ª Reunião do COLDI realizado no período de 13 A 16 DE NOVEMBRO DE 2023 no prédio da Reitoria/IFAM. Viagem justificada e autorizada conforme Despacho n. 633/GR/IFAM, de 01/11/2023. Despesas não executadas na época própria em decorrência dos limites orçamentários. Proc. 23756.000472/2023-20. Despesas de Exercícios Anteriores. Despesas de Exercícios Anteriores (DEA).";"0,00";"0,00";"0,00";"1";"1427,48000"
"562290651";"155422264032024NE000001";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"92";"DESPESAS DE EXERCICIOS ANTERIORES";"37";"LOCACAO DE MAO-DE-OBRA";"Item compra: 00001 - PRESTAÇÃO DE SERVIÇO DE LIMPEZA E CONSERVAÇÃO - OUTRAS   NECESSIDADES";"0,00";"0,00";"0,00";"1";"17688,20000"
"562316062";"155422264032024NE000004";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"92";"DESPESAS DE EXERCICIOS ANTERIORES";"37";"LOCACAO DE MAO-DE-OBRA";"Item compra: 00001 - PRESTAÇÃO DE SERVIÇOS DE MOTORISTA";"0,00";"0,00";"0,00";"1";"3746,72000"
"562403181";"495110292082024NE000139";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"30";"MATERIAL DE CONSUMO";"96";"MATERIAL DE CONSUMO - PAGTO ANTECIPADO";"CONCESSÃO DE SUPRIMENTOS DE FUNDOS PARA UTILIZAÇÃO EM PEQUENAS DESPESAS PARA FINS DE ATENDER AO SENHOR DIRETOR-PRESIDENTE NA ESTRUTURA DA PRESIDÊNCIA NA SEDE E EM VIAGENS INSTITUCIONAIS, PERÍODO DE APLICAÇÃO 27/12/2023 a 26/02/2024. CONFORME PROCESSO SEI Nº.48035.003950/2023-10.....CENTRO DE CUSTO.5110.500.";"0,00";"0,00";"0,00";"1";"2000,00000"
"562423370";"495110292082024NE000140";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"96";"OUTROS SERV.DE TERCEIROS PJ- PAGTO ANTECIPADO";"CONCESSÃO DE SUPRIMENTOS DE FUNDOS PARA UTILIZAÇÃO EM PEQUENAS DESPESAS PARA FINS DE ATENDER AO SENHOR DIRETOR-PRESIDENTE NA ESTRUTURA DA PRESIDÊNCIA NA SEDE E EM VIAGENS INSTITUCIONAIS, PERÍODO DE APLICAÇÃO 27/12/2023 a 26/02/2024. CONFORME PROCESSO SEI Nº.48035.003950/2023-10.....CENTRO DE CUSTO.5110.500.";"0,00";"0,00";"0,00";"1";"3000,00000"
"562555758";"495110292082024NE000204";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"30";"MATERIAL DE CONSUMO";"96";"MATERIAL DE CONSUMO - PAGTO ANTECIPADO";"CONCESSÃO DE SUPRIMENTO DE FUNDO PARA ATENDER DE DESPESAS DE PEQUENO VULTO, EM ATENDIMENTO AO SERVIÇO DE ADMINISTRAÇÃO E FINANÇAS - SERFI-BR, NO PERÍODO DE APLICAÇÃO JANEIRO E FEVEREIRO. CONFORME PROCESSO SEI Nº. 48086.009197/2023-71...CENTRO DE CUSTO:5110.500...PTRES:174232..FONTE:1000.";"0,00";"0,00";"0,00";"1";"876,14000"
"562696976";"156746264032024NE000015";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"30";"MATERIAL DE CONSUMO";"25";"MATERIAL P/ MANUTENCAO DE BENS MOVEIS";"Item compra: 00027 - BOTÃO APARELHO AR CONDICIONADO";"0,00";"0,00";"0,00";"1";"260,00000"
"562733230";"156623264032024NE000026";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"32";"MATERIAL, BEM OU SERVICO P/ DISTRIB. GRATUITA";"05";"MERCADORIAS PARA DOACAO";"Item compra: 00003 - FORNECIMENTO DE REFEIÇÕES / LANCHES / SALGADOS / DOCES";"0,00";"0,00";"0,00";"1";"35750,00000"
"562733230";"156623264032024NE000026";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"32";"MATERIAL, BEM OU SERVICO P/ DISTRIB. GRATUITA";"05";"MERCADORIAS PARA DOACAO";"Item compra: 00004 - FORNECIMENTO DE REFEIÇÕES / LANCHES / SALGADOS / DOCES";"0,00";"0,00";"0,00";"2";"55422,64000"
"562757484";"495110292082024NE000316";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"48";"SERVICO DE SELECAO E TREINAMENTO";"EMPENHO PARA CONTRATAÇÃO DE CURSO ESTATÍSTICA DE DADOS DE MUITAS VARIÁVEIS COM APLICAÇÕES EM GEOQUÍMICA E GEOFÍSICA, DE INTERESSE DO SGB/CPRM. CONFORME ESPECIFICAÇÕES NA SOLICITAÇÃO DE TREINAMENTO DE CURTO PRAZO ¿ STR, PROCESSO. 48035.003362/2023-86..SAE.107094..C.C.4991.087..PTRES:236351..FONTE:1045.";"0,00";"0,00";"0,00";"1";"16960,00000"
