"Código Pagamento";"Código Empenho";"Código Natureza Despesa Completa";"Subitem";"Valor Pago (R$)";"Valor Restos a Pagar Inscritos (R$)";"Valor Restos a Pagar Cancelado (R$)";"Valor Restos a Pagar Pagos (R$)"
"110001000012024OB000003";"110001000012023NE000076";"31901133";"GRAT POR EXERCICIO DE FUNCOES COMISSIONADAS";"0,00";"0,00";"0,00";"105262,50"
"110001000012024OB000003";"110001000012023NE000620";"31900401";"SALARIO CONTRATO TEMPORARIO";"0,00";"0,00";"0,00";"45850,00"
"110001000012024OB000003";"110001000012023NE000076";"31901101";"VENCIMENTOS E SALARIOS";"0,00";"0,00";"0,00";"300,00"
"110001000012024OB000003";"110001000012023NE000076";"31901109";"ADICIONAL DE PERICULOSIDADE";"0,00";"0,00";"0,00";"32207,24"
"110001000012024OB000004";"110001000012023NE000076";"31901143";"13º SALARIO";"0,00";"0,00";"0,00";"576542,43"
"110001000012024OB000004";"110001000012023NE000620";"31900413";"13¤ SALARIO - CONTRATO TEMPORARIO";"0,00";"0,00";"0,00";"1900,00"
"110001000012024OB000004";"110001000012023NE000070";"31901632";"SUBSTITUICOES";"0,00";"0,00";"0,00";"8654,99"
"110001000012024OB000004";"110001000012023NE000072";"31901243";"ADICIONAL NATALINO";"0,00";"0,00";"0,00";"30390,97"
"110001000012024OB000004";"110001000012023NE000072";"31901231";"GRATIFICACAO DE EXERCICIOS DE CARGOS.";"0,00";"0,00";"0,00";"608390,58"
"110001000012024OB000004";"110001000012023NE000076";"31901145";"FERIAS - 1/3 CONSTITUCIONAL";"0,00";"0,00";"0,00";"396016,51"
"110001000012024OB000004";"110001000012023NE000076";"31901142";"FERIAS VENCIDAS E PROPORCIONAIS";"0,00";"0,00";"0,00";"105037,24"
"110001000012024OB000005";"110001000012023NE000076";"31901136";"GRATIFICACAO P/EXERCICIO DE CARGO EM COMISSAO";"0,00";"0,00";"0,00";"3138,09"
"110001000012024OB000006";"110001000012023NE000079";"33903607";"ESTAGIARIOS";"0,00";"0,00";"0,00";"9907,63"
"110001000012024OB000006";"110001000012023NE001801";"33909307";"INDENIZACAO DE MORADIA - PESSOAL CIVIL";"0,00";"0,00";"0,00";"3389,80"
"110001000012024OB000007";"110001000012023NE000076";"31901136";"GRATIFICACAO P/EXERCICIO DE CARGO EM COMISSAO";"0,00";"0,00";"0,00";"173970,25"
"110001000012024OB000008";"110001000012023NE001801";"33909307";"INDENIZACAO DE MORADIA - PESSOAL CIVIL";"0,00";"0,00";"0,00";"49656,53"
"110001000012024OB000009";"110001000012023NE000083";"33900809";"AUXILIO-CRECHE CIVIL";"0,00";"0,00";"0,00";"17193,10"
"110001000012024OB000009";"110001000012023NE000072";"31901245";"FERIAS - ABONO CONSTITUCIONAL";"0,00";"0,00";"0,00";"65901,41"
"110001000012024OB000009";"110001000012023NE000076";"31901145";"FERIAS - 1/3 CONSTITUCIONAL";"0,00";"0,00";"0,00";"164734,28"
"110001000012024OB000009";"110001000012023NE000076";"31901146";"FERIAS - PAGAMENTO ANTECIPADO";"0,00";"0,00";"0,00";"49087,95"
"110001000012024OB000009";"110001000012023NE000087";"33904601";"AUXILIO-ALIMENTACAO CIVIS";"0,00";"0,00";"0,00";"300916,58"
"110001000012024OB000009";"110001000012023NE000620";"31900414";"FERIAS - ABONO CONSTITUCIONAL - CONTRATO TEMPORARIO";"0,00";"0,00";"0,00";"3799,98"
"110001000012024OB000009";"110001000012023NE000067";"31909601";"PESSOAL REQUISITADO DE OUTROS ORGAOS DA APF";"0,00";"0,00";"0,00";"20549,43"
"110001000012024OB000010";"110001000012023NE000076";"31901136";"GRATIFICACAO P/EXERCICIO DE CARGO EM COMISSAO";"0,00";"0,00";"0,00";"38106,23"
"110001000012024OB000011";"110001000012023NE000079";"33903607";"ESTAGIARIOS";"0,00";"0,00";"0,00";"129602,84"
"110001000012024OB000011";"110001000012023NE000128";"33909307";"INDENIZACAO DE MORADIA - PESSOAL CIVIL";"0,00";"0,00";"0,00";"549807,49"
"110001000012024OB000011";"110001000012023NE000087";"33904601";"AUXILIO-ALIMENTACAO CIVIS";"0,00";"0,00";"0,00";"159492,35"
"110001000012024OB000011";"110001000012023NE000085";"33904901";"AUXILIO-TRANSPORTE CIVIS";"0,00";"0,00";"0,00";"16633,47"
"110001000012024OB000011";"110001000012023NE000623";"33900423";"AUXILIO-TRANSPORTE";"0,00";"0,00";"0,00";"149,60"
"110001000012024OB000011";"110001000012023NE001515";"33904903";"AUXILIO-TRANSPORTE ESTAGIARIOS";"0,00";"0,00";"0,00";"29690,00"
"110001000012024OB000011";"110001000012023NE000624";"33900421";"AUXILIO-ALIMENTACAO";"0,00";"0,00";"0,00";"5922,00"
"110001000012024OB000011";"110001000012023NE000089";"33909308";"RESSARCIMENTO ASSISTENCIA MEDICA/ODONTOLOGICA";"0,00";"0,00";"0,00";"26137,57"
"110001000012024OB000013";"110001000012023NE000076";"31901136";"GRATIFICACAO P/EXERCICIO DE CARGO EM COMISSAO";"0,00";"0,00";"0,00";"14992,49"
"110001000012024OB000014";"110001000012023NE000076";"31901136";"GRATIFICACAO P/EXERCICIO DE CARGO EM COMISSAO";"0,00";"0,00";"0,00";"267302,04"
"110001000012024OB000015";"110001000012023NE000076";"31901136";"GRATIFICACAO P/EXERCICIO DE CARGO EM COMISSAO";"0,00";"0,00";"0,00";"22055,27"
"110001000012024OB000016";"110001000012023NE000076";"31901136";"GRATIFICACAO P/EXERCICIO DE CARGO EM COMISSAO";"0,00";"0,00";"0,00";"749,74"
"110001000012024OB000017";"110001000012023NE000076";"31901136";"GRATIFICACAO P/EXERCICIO DE CARGO EM COMISSAO";"0,00";"0,00";"0,00";"4940,45"
"110001000012024OB000018";"110001000012023NE000076";"31901136";"GRATIFICACAO P/EXERCICIO DE CARGO EM COMISSAO";"0,00";"0,00";"0,00";"91,55"
"110001000012024OB000019";"110001000012023NE000076";"31901136";"GRATIFICACAO P/EXERCICIO DE CARGO EM COMISSAO";"0,00";"0,00";"0,00";"24630,81"
"110001000012024OB000020";"110001000012023NE000089";"33909308";"RESSARCIMENTO ASSISTENCIA MEDICA/ODONTOLOGICA";"0,00";"0,00";"0,00";"27866,04"
"110001000012024OB000021";"110001000012023NE000076";"31901136";"GRATIFICACAO P/EXERCICIO DE CARGO EM COMISSAO";"0,00";"0,00";"0,00";"175,79"
"110001000012024OB000022";"110001000012023NE000067";"31909601";"PESSOAL REQUISITADO DE OUTROS ORGAOS DA APF";"0,00";"0,00";"0,00";"10278,74"
"110001000012024OB000023";"110001000012023NE000067";"31909601";"PESSOAL REQUISITADO DE OUTROS ORGAOS DA APF";"0,00";"0,00";"0,00";"81729,90"
"110001000012024OB000024";"110001000012023NE000067";"31909601";"PESSOAL REQUISITADO DE OUTROS ORGAOS DA APF";"0,00";"0,00";"0,00";"9551,60"
"110001000012024OB000025";"110001000012023NE000067";"31909601";"PESSOAL REQUISITADO DE OUTROS ORGAOS DA APF";"0,00";"0,00";"0,00";"14955,87"
"110001000012024OB000026";"110001000012023NE000067";"31909601";"PESSOAL REQUISITADO DE OUTROS ORGAOS DA APF";"0,00";"0,00";"0,00";"22762,07"
"110001000012024OB000027";"110001000012023NE000067";"31909601";"PESSOAL REQUISITADO DE OUTROS ORGAOS DA APF";"0,00";"0,00";"0,00";"21761,75"
"110001000012024OB000028";"110001000012023NE000067";"31909601";"PESSOAL REQUISITADO DE OUTROS ORGAOS DA APF";"0,00";"0,00";"0,00";"270642,25"
"110001000012024OB000029";"110001000012023NE000067";"31909601";"PESSOAL REQUISITADO DE OUTROS ORGAOS DA APF";"0,00";"0,00";"0,00";"4103886,72"
"110001000012024OB000030";"110001000012023NE000067";"31909602";"PESSOAL REQUISITADO DE OUTROS ENTES";"0,00";"0,00";"0,00";"35072,11"
"110001000012024OB000031";"110001000012023NE000067";"31909602";"PESSOAL REQUISITADO DE OUTROS ENTES";"0,00";"0,00";"0,00";"65313,17"
"110001000012024OB000032";"110001000012023NE000067";"31909602";"PESSOAL REQUISITADO DE OUTROS ENTES";"0,00";"0,00";"0,00";"15252,05"
"110001000012024OB000033";"110001000012023NE000067";"31909602";"PESSOAL REQUISITADO DE OUTROS ENTES";"0,00";"0,00";"0,00";"5528,61"
"110001000012024OB000034";"110001000012023NE000067";"31909602";"PESSOAL REQUISITADO DE OUTROS ENTES";"0,00";"0,00";"0,00";"104235,34"
"110001000012024OB000035";"110001000012023NE000067";"31909602";"PESSOAL REQUISITADO DE OUTROS ENTES";"0,00";"0,00";"0,00";"111482,63"
"110001000012024OB000036";"110001000012023NE000067";"31909602";"PESSOAL REQUISITADO DE OUTROS ENTES";"0,00";"0,00";"0,00";"42223,43"
"110001000012024OB000037";"110001000012023NE000067";"31909602";"PESSOAL REQUISITADO DE OUTROS ENTES";"0,00";"0,00";"0,00";"8364,89"
"110001000012024OB000038";"110001000012023NE000067";"31909602";"PESSOAL REQUISITADO DE OUTROS ENTES";"0,00";"0,00";"0,00";"7045,54"
"110001000012024OB000039";"110001000012023NE000067";"31909602";"PESSOAL REQUISITADO DE OUTROS ENTES";"0,00";"0,00";"0,00";"29470,30"
"110001000012024OB000040";"110001000012023NE000067";"31909602";"PESSOAL REQUISITADO DE OUTROS ENTES";"0,00";"0,00";"0,00";"111364,05"
"110001000012024OB000041";"110001000012023NE000088";"33909601";"PESSOAL REQUISITADO DE OUTROS ORGAOS DA APF";"0,00";"0,00";"0,00";"197168,37"
"110001000012024OB000042";"110001000012023NE000067";"31909602";"PESSOAL REQUISITADO DE OUTROS ENTES";"0,00";"0,00";"0,00";"6561,04"
"110001000012024OB000043";"110001000012023NE000067";"31909602";"PESSOAL REQUISITADO DE OUTROS ENTES";"0,00";"0,00";"0,00";"23559,15"
"110001000012024OB000044";"110001000012023NE000088";"33909601";"PESSOAL REQUISITADO DE OUTROS ORGAOS DA APF";"0,00";"0,00";"0,00";"28552,51"
"110001000012024OB000044";"110001000012023NE000067";"31909602";"PESSOAL REQUISITADO DE OUTROS ENTES";"0,00";"0,00";"0,00";"1352,07"
"110001000012024OB000045";"110001000012023NE000067";"31909602";"PESSOAL REQUISITADO DE OUTROS ENTES";"0,00";"0,00";"0,00";"37989,55"
"110001000012024OB000046";"110001000012023NE000088";"33909601";"PESSOAL REQUISITADO DE OUTROS ORGAOS DA APF";"0,00";"0,00";"0,00";"14307,70"
"110001000012024OB000047";"110001000012023NE000088";"33909601";"PESSOAL REQUISITADO DE OUTROS ORGAOS DA APF";"0,00";"0,00";"0,00";"8573,00"
"110001000012024OB000048";"110001000012023NE000090";"33909602";"PESSOAL REQUISITADO DE OUTROS ENTES/BENEFICIO";"0,00";"0,00";"0,00";"7444,72"
"110001000012024OB000048";"110001000012023NE000086";"33909601";"PESSOAL REQUISITADO DE OUTROS ORGAOS DA APF";"0,00";"0,00";"0,00";"60,30"
"110001000012024OB000049";"110001000012023NE000067";"31909601";"PESSOAL REQUISITADO DE OUTROS ORGAOS DA APF";"0,00";"0,00";"0,00";"14922,92"
"110001000012024OB000050";"110001000012023NE000088";"33909601";"PESSOAL REQUISITADO DE OUTROS ORGAOS DA APF";"0,00";"0,00";"0,00";"57759,72"
"110001000012024OB000051";"110001000012023NE000090";"33909602";"PESSOAL REQUISITADO DE OUTROS ENTES/BENEFICIO";"0,00";"0,00";"0,00";"11872,39"
"110001000012024OB000051";"110001000012023NE000090";"33909601";"PESSOAL REQUISITADO DE OUTROS ORGAOS DA APF";"0,00";"0,00";"0,00";"778,37"
"110001000012024OB000052";"110001000012023NE000067";"31909601";"PESSOAL REQUISITADO DE OUTROS ORGAOS DA APF";"0,00";"0,00";"0,00";"15252,05"
"110001000012024OB000053";"110001000012023NE000088";"33909601";"PESSOAL REQUISITADO DE OUTROS ORGAOS DA APF";"0,00";"0,00";"0,00";"12186,80"
"110001000012024OB000054";"110001000012023NE000088";"33909601";"PESSOAL REQUISITADO DE OUTROS ORGAOS DA APF";"0,00";"0,00";"0,00";"41272,42"
"110001000012024OB000055";"110001000012023NE000067";"31909601";"PESSOAL REQUISITADO DE OUTROS ORGAOS DA APF";"0,00";"0,00";"0,00";"1297759,46"
"110001000012024OB000056";"110001000012023NE000067";"31909601";"PESSOAL REQUISITADO DE OUTROS ORGAOS DA APF";"0,00";"0,00";"0,00";"900052,54"
"110001000012024OB000057";"110001000012023NE000067";"31909602";"PESSOAL REQUISITADO DE OUTROS ENTES";"0,00";"0,00";"0,00";"291982,83"
"110001000012024OB000057";"110001000012023NE000067";"31909601";"PESSOAL REQUISITADO DE OUTROS ORGAOS DA APF";"0,00";"0,00";"0,00";"780624,09"
"110001000012024OB000058";"110001000012023NE000086";"33909602";"PESSOAL REQUISITADO DE OUTROS ENTES/BENEFICIO";"0,00";"0,00";"0,00";"485,62"
"110001000012024OB000058";"110001000012023NE000090";"33909601";"PESSOAL REQUISITADO DE OUTROS ORGAOS DA APF";"0,00";"0,00";"0,00";"414928,70"
"110001000012024OB000058";"110001000012023NE000084";"33909602";"PESSOAL REQUISITADO DE OUTROS ENTES/BENEFICIO";"0,00";"0,00";"0,00";"550,00"
"110001000012024OB000058";"110001000012023NE000084";"33909601";"PESSOAL REQUISITADO DE OUTROS ORGAOS DA APF";"0,00";"0,00";"0,00";"12471,67"
"110001000012024OB000058";"110001000012023NE000088";"33909602";"PESSOAL REQUISITADO DE OUTROS ENTES/BENEFICIO";"0,00";"0,00";"0,00";"48904,45"
"110001000012024OB000058";"110001000012023NE000088";"33909601";"PESSOAL REQUISITADO DE OUTROS ORGAOS DA APF";"0,00";"0,00";"0,00";"80786,09"
"110001000012024OB000059";"110001000012023NE000067";"31909602";"PESSOAL REQUISITADO DE OUTROS ENTES";"0,00";"0,00";"0,00";"28880,01"
"110001000012024OB000059";"110001000012023NE000067";"31909601";"PESSOAL REQUISITADO DE OUTROS ORGAOS DA APF";"0,00";"0,00";"0,00";"567097,55"
"110001000012024OB000059";"110001000012023NE000090";"33909602";"PESSOAL REQUISITADO DE OUTROS ENTES/BENEFICIO";"0,00";"0,00";"0,00";"191,04"
"110001000012024OB000059";"110001000012023NE000090";"33909601";"PESSOAL REQUISITADO DE OUTROS ORGAOS DA APF";"0,00";"0,00";"0,00";"28278,38"
"110001000012024OB000059";"110001000012023NE000088";"33909602";"PESSOAL REQUISITADO DE OUTROS ENTES/BENEFICIO";"0,00";"0,00";"0,00";"1103,92"
"110001000012024OB000059";"110001000012023NE000084";"33909601";"PESSOAL REQUISITADO DE OUTROS ORGAOS DA APF";"0,00";"0,00";"0,00";"1952,32"
"110001000012024OB000059";"110001000012023NE000088";"33909601";"PESSOAL REQUISITADO DE OUTROS ORGAOS DA APF";"0,00";"0,00";"0,00";"40717,37"
"110062000012024OB000001";"110062000012023NE000001";"31901105";"INCORPORACOES";"0,00";"0,00";"0,00";"99552,58"
"110062000012024OB000001";"110062000012023NE000017";"33904901";"AUXILIO-TRANSPORTE CIVIS";"0,00";"0,00";"0,00";"25777,47"
"110062000012024OB000001";"110062000012023NE000001";"31901145";"FERIAS - 1/3 CONSTITUCIONAL";"0,00";"0,00";"0,00";"22507104,30"
"110062000012024OB000001";"110062000012023NE000018";"33904601";"AUXILIO-ALIMENTACAO CIVIS";"0,00";"0,00";"0,00";"4318838,99"
"110062000012024OB000001";"110062000012023NE000001";"31901142";"FERIAS VENCIDAS E PROPORCIONAIS";"0,00";"0,00";"0,00";"10440,42"
"110062000012024OB000001";"110062000012023NE000001";"31901143";"13º SALARIO";"0,00";"0,00";"0,00";"26855611,91"
"110062000012024OB000001";"110062000012023NE000002";"31900109";"ADICIONAL POR TEMPO DE SERVICO PESSOAL CIVIL";"0,00";"0,00";"0,00";"621090,56"
"110062000012024OB000001";"110062000012023NE000032";"33909208";"OUTROS BENEF.ASSIST.DO SERVIDOR E DO MILITAR";"0,00";"0,00";"0,00";"82946,40"
"110062000012024OB000001";"110062000012023NE000001";"31901133";"GRAT POR EXERCICIO DE FUNCOES COMISSIONADAS";"0,00";"0,00";"0,00";"841,31"
"110062000012024OB000001";"110062000012023NE000044";"31900116";"APOSENT ORIGINARIA DE SUBSIDIOS - PESSOAL CIV";"0,00";"0,00";"0,00";"13664767,69"
"110062000012024OB000001";"110062000012023NE000001";"31901137";"GRATIFICACAO DE TEMPO DE SERVICO";"0,00";"0,00";"0,00";"274834,78"
"110062000012024OB000001";"110062000012023NE000003";"31900338";"BENEFICIO ESPECIAL LEI 12.618/2012 - PENSAO";"0,00";"0,00";"0,00";"12095,31"
"110062000012024OB000001";"110062000012023NE000002";"31900116";"APOSENT ORIGINARIA DE SUBSIDIOS - PESSOAL CIV";"0,00";"0,00";"0,00";"32033927,49"
"110062000012024OB000001";"110062000012023NE000008";"33900805";"AUXILIO NATALIDADE ATIVO CIVIL";"0,00";"0,00";"0,00";"2155,74"
"110062000012024OB000001";"110062000012023NE000015";"33909308";"RESSARCIMENTO ASSISTENCIA MEDICA/ODONTOLOGICA";"0,00";"0,00";"0,00";"1152177,92"
"110062000012024OB000001";"110062000012023NE000001";"31901110";"ADICIONAL DE INSALUBRIDADE";"0,00";"0,00";"0,00";"2984,39"
"110062000012024OB000001";"110062000012023NE000001";"31901136";"GRATIFICACAO P/EXERCICIO DE CARGO EM COMISSAO";"0,00";"0,00";"0,00";"4156343,81"
"110062000012024OB000001";"110062000012023NE000001";"31901174";"SUBSIDIOS";"0,00";"0,00";"0,00";"60895304,66"
"110062000012024OB000001";"110062000012023NE000009";"31901632";"SUBSTITUICOES";"0,00";"0,00";"0,00";"140510,95"
"110062000012024OB000001";"110062000012023NE000001";"31901107";"ABONO DE PERMANENCIA";"0,00";"0,00";"0,00";"2182600,49"
"110062000012024OB000001";"110062000012023NE000028";"31909201";"APOSENTADORIAS, RESERVA REMUNERADA E REFORMAS";"0,00";"0,00";"0,00";"4890,69"
"110062000012024OB000001";"110062000012023NE000001";"31901131";"GRATIFICACAO POR EXERCICIO DE CARGO EFETIVO";"0,00";"0,00";"0,00";"6522976,99"
"110062000012024OB000001";"110062000012023NE000001";"31901106";"VANTAGENS PERM.SENT.JUD.TRANS.JULGADO - CIVIL";"0,00";"0,00";"0,00";"29214,01"
"110062000012024OB000001";"110062000012023NE000003";"31900386";"COMPLEMENTACAO DE PENSOES - PESSOAL CIVIL";"0,00";"0,00";"0,00";"1442,83"
"110062000012024OB000001";"110062000012023NE000001";"31901101";"VENCIMENTOS E SALARIOS";"0,00";"0,00";"0,00";"3884342,86"
"110062000012024OB000001";"110062000012023NE000017";"33904903";"AUXILIO-TRANSPORTE ESTAGIARIOS";"0,00";"0,00";"0,00";"150699,23"
"110062000012024OB000001";"110062000012023NE000016";"33900809";"AUXILIO-CRECHE CIVIL";"0,00";"0,00";"0,00";"268436,25"
"110062000012024OB000001";"110062000012023NE000027";"31909211";"VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL";"0,00";"0,00";"0,00";"149780,15"
"110062000012024OB000001";"110062000012023NE000002";"31900105";"VANTAGEM PESSOAL - LEI 8.216/91 PESSOAL CIVIL";"0,00";"0,00";"0,00";"323,87"
"110062000012024OB000001";"110062000012023NE000002";"31900187";"COMPLEMENTACAO DE APOSENTADORIAS - PES CIVIL";"0,00";"0,00";"0,00";"11108,81"
"110062000012024OB000001";"110062000012023NE000011";"31909115";"SENT.JUD.NAO TRANS JULG CARAT CONT INAT CIVIL";"0,00";"0,00";"0,00";"57813,70"
"110062000012024OB000001";"110062000012023NE000003";"31900301";"PENSOES CIVIS";"0,00";"0,00";"0,00";"6739676,19"
"110062000012024OB000001";"110062000012023NE000002";"31900107";"FERIAS VENCIDAS E PROPOR A APOSENTADOS CIVIS";"0,00";"0,00";"0,00";"285926,49"
"110062000012024OB000001";"110062000012023NE000010";"31909114";"SENT.JUD.NAO TRANS JULG CARAT CONT AT CIVIL";"0,00";"0,00";"0,00";"76983,54"
"110062000012024OB000001";"110062000012023NE000001";"31901135";"GRATIFICACAO/ADICIONAL DE LOCALIZACAO";"0,00";"0,00";"0,00";"3946,33"
"110062000012024OB000001";"110062000012023NE000030";"33909246";"AUXILIO-ALIMENTACAO";"0,00";"0,00";"0,00";"22650,18"
"110062000012024OB000001";"110062000012023NE000002";"31900134";"VANTAGENS PERMANENTES SENT.TRANSIT.JULG.CIVIL";"0,00";"0,00";"0,00";"34357,49"
"110062000012024OB000001";"110062000012023NE000003";"31900303";"13 SALARIO - PENSOES CIVIS";"0,00";"0,00";"0,00";"68599,57"
"110062000012024OB000001";"110062000012023NE000001";"31901146";"FERIAS - PAGAMENTO ANTECIPADO";"0,00";"0,00";"0,00";"1308882,46"
"110062000012024OB000001";"110062000012023NE000029";"33909293";"INDENIZACOES E RESTITUICOES";"0,00";"0,00";"0,00";"22302,40"
"110062000012024OB000001";"110062000012023NE000002";"31900106";"13 SALARIO - PESSOAL CIVIL";"0,00";"0,00";"0,00";"15409,32"
"110062000012024OB000001";"110062000012023NE000002";"31900101";"PROVENTOS - PESSOAL CIVIL";"0,00";"0,00";"0,00";"10937863,71"
"110062000012024OB000001";"110062000012023NE000002";"31900138";"BENEFICIO ESPECIAL (LEI 12.618/2012) APROVADOS PELO TCU";"0,00";"0,00";"0,00";"146545,56"
"110062000012024OB000002";"110062000012023NE000044";"31900116";"APOSENT ORIGINARIA DE SUBSIDIOS - PESSOAL CIV";"0,00";"0,00";"0,00";"2987714,33"
"110062000012024OB000002";"110062000012023NE000049";"33903628";"GRATIFICACAO POR ENCARGO DE CURSO E CONCURSO - GECC";"0,00";"0,00";"0,00";"1802,00"
"110062000012024OB000002";"110062000012023NE000026";"33909307";"INDENIZACAO DE MORADIA - PESSOAL CIVIL";"0,00";"0,00";"0,00";"117725,28"
"110062000012024OB000002";"110062000012023NE000048";"33903628";"GRATIFICACAO POR ENCARGO DE CURSO E CONCURSO - GECC";"0,00";"0,00";"0,00";"1242052,87"
"110062000012024OB000002";"110062000012023NE000006";"33903607";"ESTAGIARIOS";"0,00";"0,00";"0,00";"669417,87"
"110062000012024OB000002";"110062000012023NE000031";"33903628";"GRATIFICACAO POR ENCARGO DE CURSO E CONCURSO - GECC";"0,00";"0,00";"0,00";"46742,71"
"110062000012024OB000003";"110062000012023NE000001";"31901174";"SUBSIDIOS";"0,00";"0,00";"0,00";"11414872,91"
"110062000012024OB000004";"110062000012023NE000048";"33903628";"GRATIFICACAO POR ENCARGO DE CURSO E CONCURSO - GECC";"0,00";"0,00";"0,00";"16400,39"
"110062000012024OB000005";"110062000012023NE000053";"33909311";"RESSARCIMENTO DE MENSALIDADES";"0,00";"0,00";"0,00";"27375,81"
"110062000012024OB000005";"110062000012023NE000048";"33903628";"GRATIFICACAO POR ENCARGO DE CURSO E CONCURSO - GECC";"0,00";"0,00";"0,00";"41597,82"
"110062000012024OB000006";"110062000012023NE000053";"33909311";"RESSARCIMENTO DE MENSALIDADES";"0,00";"0,00";"0,00";"1497,91"
"110062000012024OB000006";"110062000012023NE000046";"33903628";"GRATIFICACAO POR ENCARGO DE CURSO E CONCURSO - GECC";"0,00";"0,00";"0,00";"994,20"
"110062000012024OB000007";"110062000012023NE000013";"31900706";"CONTRIBUICAO PATRONAL - FUNPRESP LEI 12618/12";"0,00";"0,00";"0,00";"5485798,30"
"110062000012024OB000008";"110062000012023NE000001";"31901174";"SUBSIDIOS";"0,00";"0,00";"0,00";"7850244,42"
"110062000012024OB000009";"110062000012023NE000001";"31901174";"SUBSIDIOS";"0,00";"0,00";"0,00";"6811572,82"
"110062000012024OB000010";"110062000012023NE000022";"33909601";"PESSOAL REQUISITADO DE OUTROS ORGAOS DA APF";"0,00";"0,00";"0,00";"1736,64"
"110062000012024OB000010";"110062000012023NE000004";"31909601";"PESSOAL REQUISITADO DE OUTROS ORGAOS DA APF";"0,00";"0,00";"0,00";"40888,75"
"110062000012024OB000011";"110062000012023NE000019";"33909601";"PESSOAL REQUISITADO DE OUTROS ORGAOS DA APF";"0,00";"0,00";"0,00";"9931,61"
"110062000012024OB000011";"110062000012023NE000004";"31909601";"PESSOAL REQUISITADO DE OUTROS ORGAOS DA APF";"0,00";"0,00";"0,00";"187533,66"
"110062000012024OB000011";"110062000012023NE000022";"33909601";"PESSOAL REQUISITADO DE OUTROS ORGAOS DA APF";"0,00";"0,00";"0,00";"23113,02"
"110062000012024OB000011";"110062000012023NE000020";"33909601";"PESSOAL REQUISITADO DE OUTROS ORGAOS DA APF";"0,00";"0,00";"0,00";"3839,80"
"110062000012024OB000012";"110062000012023NE000004";"31909601";"PESSOAL REQUISITADO DE OUTROS ORGAOS DA APF";"0,00";"0,00";"0,00";"17469,80"
"110062000012024OB000012";"110062000012023NE000022";"33909601";"PESSOAL REQUISITADO DE OUTROS ORGAOS DA APF";"0,00";"0,00";"0,00";"1380,96"
"110062000012024OB000013";"110062000012023NE000004";"31909601";"PESSOAL REQUISITADO DE OUTROS ORGAOS DA APF";"0,00";"0,00";"0,00";"23095,25"
"110062000012024OB000013";"110062000012023NE000022";"33909601";"PESSOAL REQUISITADO DE OUTROS ORGAOS DA APF";"0,00";"0,00";"0,00";"640,00"
"110062000012024OB000014";"110062000012023NE000004";"31909601";"PESSOAL REQUISITADO DE OUTROS ORGAOS DA APF";"0,00";"0,00";"0,00";"16792,67"
"110062000012024OB000015";"110062000012023NE000022";"33909601";"PESSOAL REQUISITADO DE OUTROS ORGAOS DA APF";"0,00";"0,00";"0,00";"550,00"
"110062000012024OB000015";"110062000012023NE000004";"31909601";"PESSOAL REQUISITADO DE OUTROS ORGAOS DA APF";"0,00";"0,00";"0,00";"4576,36"
"110062000012024OB000016";"110062000012023NE000019";"33909601";"PESSOAL REQUISITADO DE OUTROS ORGAOS DA APF";"0,00";"0,00";"0,00";"15552,93"
