"Código Liquidação";"Código Empenho";"Código Natureza Despesa Completa";"Subitem";"Valor Liquidado (R$)";"Valor Restos a Pagar Inscritos (R$)";"Valor Restos a Pagar Cancelado (R$)";"Valor Restos a Pagar Pagos (R$)"
"152254264222024NS000007";"152254264222023NE000029";"33903947";"SERVICOS DE COMUNICACAO EM GERAL";"0,00";"0,00";"0,00";"0,00"
"152254264222024NS000008";"152254264222023NE000120";"33903059";"MATERIAL PARA DIVULGACAO";"0,00";"0,00";"0,00";"0,00"
"152254264222024NS000009";"152254264222023NE000106";"33904016";"OUTSOURCING DE IMPRESSAO";"0,00";"0,00";"0,00";"0,00"
"152254264222024NS000010";"152254264222023NE000011";"33903944";"SERVICOS DE AGUA E ESGOTO";"0,00";"0,00";"0,00";"0,00"
"152254264222024NS000016";"152254264222023NE000031";"33903958";"SERVICOS DE TELECOMUNICACOES";"0,00";"0,00";"0,00";"0,00"
"152254264222024NS000027";"152254264222024NE000002";"33903925";"TAXA DE ADMINISTRACAO";"129,00";"0,00";"0,00";"0,00"
"152254264222024NS000039";"152254264222023NE000203";"33903948";"SERVICO DE SELECAO E TREINAMENTO";"0,00";"0,00";"0,00";"0,00"
"152254264222024NS000041";"152254264222023NE000115";"33903702";"LIMPEZA E CONSERVACAO";"0,00";"0,00";"0,00";"0,00"
"152254264222024NS000089";"152254264222023NE000211";"33903042";"FERRAMENTAS";"0,00";"0,00";"0,00";"0,00"
"152290264222024NS000009";"152290264222023NE000057";"33903944";"SERVICOS DE AGUA E ESGOTO";"0,00";"0,00";"0,00";"0,00"
"152290264222024NS000010";"152290264222024NE000002";"33903937";"JUROS E MULTA DE MORA";"29,09";"0,00";"0,00";"0,00"
"152290264222024NS000010";"152290264222023NE000057";"33903944";"SERVICOS DE AGUA E ESGOTO";"0,00";"0,00";"0,00";"0,00"
"152290264222024NS000138";"152290264222023NE000058";"33903977";"VIGILANCIA OSTENSIVA/MONITORADA/RASTREAMENTO";"0,00";"0,00";"0,00";"0,00"
"152290264222024NS000143";"152290264222023NE000133";"33903401";"OUTRAS DESPESAS DE PESSOAL - TERCEIRIZACAO";"0,00";"0,00";"0,00";"0,00"
"152290264222024NS000143";"152290264222023NE000013";"33903401";"OUTRAS DESPESAS DE PESSOAL - TERCEIRIZACAO";"0,00";"0,00";"0,00";"0,00"
"152290264222024NS000145";"152290264222023NE000151";"33904007";"MANUTENCAO CORRETIVA/ADAPTATIVA E SUSTENTACAO SOFTWARES";"0,00";"0,00";"0,00";"0,00"
"152290264222024NS000150";"152290264222023NE000008";"33904016";"OUTSOURCING DE IMPRESSAO";"0,00";"0,00";"0,00";"0,00"
"152290264222024NS000150";"152290264222024NE000009";"33904708";"IMPOSTO S/SERVICOS DE QUALQUER NATUREZA-ISSQN";"17,63";"0,00";"0,00";"0,00"
"152290264222024NS000153";"152290264222023NE000133";"33903401";"OUTRAS DESPESAS DE PESSOAL - TERCEIRIZACAO";"0,00";"0,00";"0,00";"0,00"
"152290264222024NS000155";"152290264222023NE000133";"33903401";"OUTRAS DESPESAS DE PESSOAL - TERCEIRIZACAO";"0,00";"0,00";"0,00";"0,00"
"152290264222024NS000211";"152290264222023NE000008";"33904016";"OUTSOURCING DE IMPRESSAO";"0,00";"0,00";"0,00";"0,00"
"152290264222024NS000232";"152290264222023NE000052";"33903203";"MATERIAL DESTINADO A ASSISTENCIA SOCIAL";"0,00";"0,00";"0,00";"0,00"
"152757264352024NS000058";"152757264352023NE000193";"33903014";"MATERIAL EDUCATIVO E ESPORTIVO";"0,00";"0,00";"0,00";"0,00"
"153010152442024NS000002";"153010152442023NE001240";"33903026";"MATERIAL ELETRICO E ELETRONICO";"0,00";"0,00";"0,00";"0,00"
"153010152442024NS000003";"153010152442023NE000941";"33903035";"MATERIAL LABORATORIAL";"0,00";"0,00";"0,00";"0,00"
"153010152442024NS000006";"153010152442023NE000896";"33903025";"MATERIAL P/ MANUTENCAO DE BENS MOVEIS";"0,00";"0,00";"0,00";"0,00"
"153010152442024NS000015";"153010152442023NE000926";"33903014";"MATERIAL EDUCATIVO E ESPORTIVO";"0,00";"0,00";"0,00";"0,00"
"153029152462024NS000004";"153029152462023NE000430";"33903024";"MATERIAL P/ MANUT.DE BENS IMOVEIS/INSTALACOES";"0,00";"0,00";"0,00";"0,00"
"153029152462024NS000013";"153029152462023NE000434";"33903026";"MATERIAL ELETRICO E ELETRONICO";"0,00";"0,00";"0,00";"0,00"
"153036152432024NS000027";"153036152432023NE000888";"33903011";"MATERIAL QUIMICO";"0,00";"0,00";"0,00";"0,00"
"153036152432024NS000072";"153036152432023NE001047";"33903035";"MATERIAL LABORATORIAL";"0,00";"0,00";"0,00";"0,00"
"153036152432024NS000073";"153036152432023NE000750";"33903036";"MATERIAL HOSPITALAR";"0,00";"0,00";"0,00";"0,00"
"153036152432024NS000077";"153036152432023NE001178";"33903035";"MATERIAL LABORATORIAL";"0,00";"0,00";"0,00";"0,00"
"153036152432024NS000079";"153036152432023NE001293";"33903019";"MATERIAL DE ACONDICIONAMENTO E EMBALAGEM";"0,00";"0,00";"0,00";"0,00"
"153036152432024NS000673";"153036152432023NE000684";"33903040";"MATERIAL BIOLOGICO";"0,00";"0,00";"0,00";"0,00"
"153045152242024NS000101";"153045152242023NE001911";"33903022";"MATERIAL DE LIMPEZA E PROD. DE HIGIENIZACAO";"0,00";"0,00";"0,00";"0,00"
"153045152242024NS000102";"153045152242023NE001604";"33903024";"MATERIAL P/ MANUT.DE BENS IMOVEIS/INSTALACOES";"0,00";"0,00";"0,00";"0,00"
"153045152242024NS000104";"153045152242023NE001915";"33903022";"MATERIAL DE LIMPEZA E PROD. DE HIGIENIZACAO";"0,00";"0,00";"0,00";"0,00"
"153045152242024NS000108";"153045152242023NE001636";"33903010";"MATERIAL ODONTOLOGICO";"0,00";"0,00";"0,00";"0,00"
"153045152242024NS000109";"153045152242023NE001457";"33903010";"MATERIAL ODONTOLOGICO";"0,00";"0,00";"0,00";"0,00"
"153045152242024NS000112";"153045152242023NE001596";"33903024";"MATERIAL P/ MANUT.DE BENS IMOVEIS/INSTALACOES";"0,00";"0,00";"0,00";"0,00"
"153045152242024NS000113";"153045152242023NE001654";"33903010";"MATERIAL ODONTOLOGICO";"0,00";"0,00";"0,00";"0,00"
"153045152242024NS000115";"153045152242023NE000793";"33903010";"MATERIAL ODONTOLOGICO";"0,00";"0,00";"0,00";"0,00"
"153045152242024NS000116";"153045152242023NE001632";"33903010";"MATERIAL ODONTOLOGICO";"0,00";"0,00";"0,00";"0,00"
"153045152242024NS000119";"153045152242023NE001646";"33903010";"MATERIAL ODONTOLOGICO";"0,00";"0,00";"0,00";"0,00"
"153045152242024NS000120";"153045152242023NE001644";"33903010";"MATERIAL ODONTOLOGICO";"0,00";"0,00";"0,00";"0,00"
"153045152242024NS000132";"153045152242023NE001640";"33903019";"MATERIAL DE ACONDICIONAMENTO E EMBALAGEM";"0,00";"0,00";"0,00";"0,00"
"153045152242024NS000132";"153045152242023NE001640";"33903010";"MATERIAL ODONTOLOGICO";"0,00";"0,00";"0,00";"0,00"
"153045152242024NS000133";"153045152242023NE001122";"33903044";"MATERIAL DE SINALIZACAO VISUAL E OUTROS";"0,00";"0,00";"0,00";"0,00"
"153045152242024NS000134";"153045152242023NE001160";"33903010";"MATERIAL ODONTOLOGICO";"0,00";"0,00";"0,00";"0,00"
"153045152242024NS000136";"153045152242023NE001634";"33903010";"MATERIAL ODONTOLOGICO";"0,00";"0,00";"0,00";"0,00"
"153045152242024NS000137";"153045152242023NE001133";"33903044";"MATERIAL DE SINALIZACAO VISUAL E OUTROS";"0,00";"0,00";"0,00";"0,00"
"153045152242024NS000138";"153045152242023NE001582";"33903011";"MATERIAL QUIMICO";"0,00";"0,00";"0,00";"0,00"
"153045152242024NS000140";"153045152242023NE000651";"33903044";"MATERIAL DE SINALIZACAO VISUAL E OUTROS";"0,00";"0,00";"0,00";"0,00"
"153045152242024NS000141";"153045152242023NE001183";"33903044";"MATERIAL DE SINALIZACAO VISUAL E OUTROS";"0,00";"0,00";"0,00";"0,00"
"153045152242024NS000142";"153045152242023NE001761";"33903006";"ALIMENTOS PARA ANIMAIS";"0,00";"0,00";"0,00";"0,00"
"153045152242024NS000143";"153045152242023NE001367";"33903011";"MATERIAL QUIMICO";"0,00";"0,00";"0,00";"0,00"
"153045152242024NS000149";"153045152242023NE000734";"33903028";"MATERIAL DE PROTECAO E SEGURANCA";"0,00";"0,00";"0,00";"0,00"
"153045152242024NS000150";"153045152242023NE001123";"33903044";"MATERIAL DE SINALIZACAO VISUAL E OUTROS";"0,00";"0,00";"0,00";"0,00"
"153045152242024NS000153";"153045152242023NE001572";"33903011";"MATERIAL QUIMICO";"0,00";"0,00";"0,00";"0,00"
"153045152242024NS000155";"153045152242023NE001177";"33903010";"MATERIAL ODONTOLOGICO";"0,00";"0,00";"0,00";"0,00"
"153045152242024NS000156";"153045152242023NE001177";"33903010";"MATERIAL ODONTOLOGICO";"0,00";"0,00";"0,00";"0,00"
"153045152242024NS000197";"153045152242023NE001915";"33903022";"MATERIAL DE LIMPEZA E PROD. DE HIGIENIZACAO";"0,00";"0,00";"0,00";"0,00"
"153045152242024NS000202";"153045152242023NE001915";"33903022";"MATERIAL DE LIMPEZA E PROD. DE HIGIENIZACAO";"0,00";"0,00";"0,00";"0,00"
"153052152262024NS000186";"153052152262023NE002285";"33903022";"MATERIAL DE LIMPEZA E PROD. DE HIGIENIZACAO";"0,00";"0,00";"0,00";"0,00"
"153052152262024NS000207";"153052152262023NE002284";"33903022";"MATERIAL DE LIMPEZA E PROD. DE HIGIENIZACAO";"0,00";"0,00";"0,00";"0,00"
"153052152262024NS000239";"153052152262023NE002266";"33903035";"MATERIAL LABORATORIAL";"0,00";"0,00";"0,00";"0,00"
"153052152262024NS000292";"153052152262023NE002264";"33903035";"MATERIAL LABORATORIAL";"0,00";"0,00";"0,00";"0,00"
"153984152272024NS000196";"153984152272021NE000281";"33903635";"SERV. DE APOIO ADMIN., TECNICO E OPERACIONAL";"0,00";"0,00";"0,00";"0,00"
"154003152792024NS000028";"154003152792023NE000571";"33914718";"CONTRIBUICAO PREVIDENCIARIA - SERVICOS TERCEIROS (PF)";"0,00";"0,00";"80,00";"0,00"
"154004152792024NS000004";"154004152792022NE000071";"33903901";"ASSINATURAS DE PERIODICOS E ANUIDADES";"0,00";"0,00";"0,00";"0,00"
"154039152562024NS000003";"154039152562022NE000796";"44905212";"APARELHOS E UTENSILIOS DOMESTICOS";"0,00";"0,00";"0,00";"0,00"
"154039152562024NS000022";"154039152562023NE000666";"33903025";"MATERIAL P/ MANUTENCAO DE BENS MOVEIS";"0,00";"0,00";"0,00";"0,00"
"154039152562024NS000115";"154039152562023NE000646";"33903024";"MATERIAL P/ MANUT.DE BENS IMOVEIS/INSTALACOES";"0,00";"0,00";"0,00";"0,00"
"154039152562024NS000115";"154039152562023NE000646";"33903026";"MATERIAL ELETRICO E ELETRONICO";"0,00";"0,00";"0,00";"0,00"
"154039152562024NS000116";"154039152562023NE000598";"44905233";"EQUIPAMENTOS PARA AUDIO, VIDEO E FOTO";"0,00";"0,00";"0,00";"0,00"
"154043152602024NS000083";"154043152602023NE001293";"33903004";"GAS E OUTROS MATERIAIS ENGARRAFADOS";"0,00";"0,00";"0,00";"0,00"
"154043152602024NS000107";"154043152602023NE001074";"44905208";"APAR.EQUIP.UTENS.MED.,ODONT,LABOR.HOSPIT.";"0,00";"0,00";"0,00";"0,00"
"154047152642024NS000079";"154047152642023NE002275";"33903016";"MATERIAL DE EXPEDIENTE";"0,00";"0,00";"0,00";"0,00"
"154050152672024NS000020";"154050152672023NE000115";"44913981";"MARCAS, DIREITOS E PATENTES INDUSTRIAIS";"0,00";"0,00";"0,00";"0,00"
"154050152672024NS000021";"154050152672023NE000115";"44913981";"MARCAS, DIREITOS E PATENTES INDUSTRIAIS";"0,00";"0,00";"0,00";"0,00"
"154050152672024NS000022";"154050152672023NE000115";"44913981";"MARCAS, DIREITOS E PATENTES INDUSTRIAIS";"0,00";"0,00";"0,00";"0,00"
"154052152682024NS000003";"154052152682023NE000371";"33903021";"MATERIAL DE COPA E COZINHA";"0,00";"0,00";"0,00";"0,00"
"154052152682024NS000004";"154052152682023NE000414";"33903021";"MATERIAL DE COPA E COZINHA";"0,00";"0,00";"0,00";"0,00"
"154052152682024NS000005";"154052152682023NE000415";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"154052152682024NS000006";"154052152682023NE000416";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"154052152682024NS000007";"154052152682023NE000417";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"154052152682024NS000008";"154052152682023NE000418";"33903021";"MATERIAL DE COPA E COZINHA";"0,00";"0,00";"0,00";"0,00"
"154052152682024NS000009";"154052152682023NE000419";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"154052152682024NS000010";"154052152682023NE000420";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"154052152682024NS000011";"154052152682023NE000421";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"154052152682024NS000012";"154052152682023NE000422";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"154052152682024NS000013";"154052152682023NE000373";"33903019";"MATERIAL DE ACONDICIONAMENTO E EMBALAGEM";"0,00";"0,00";"0,00";"0,00"
"154052152682024NS000014";"154052152682023NE000500";"33903001";"COMBUSTIVEIS E LUBRIFICANTES AUTOMOTIVOS";"0,00";"0,00";"0,00";"0,00"
"154052152682024NS000016";"154052152682023NE000452";"33903019";"MATERIAL DE ACONDICIONAMENTO E EMBALAGEM";"0,00";"0,00";"0,00";"0,00"
"154052152682024NS000128";"154052152682023NE000432";"33903017";"MATERIAL DE TIC - MATERIAL DE CONSUMO";"0,00";"0,00";"0,00";"0,00"
"154674264322024NS000002";"154674264322023NE000219";"33903017";"MATERIAL DE TIC - MATERIAL DE CONSUMO";"0,00";"0,00";"0,00";"0,00"
"154674264322024NS000003";"154674264322023NE000166";"33903031";"SEMENTES, MUDAS DE PLANTAS E INSUMOS";"0,00";"0,00";"0,00";"0,00"
"154674264322024NS000007";"154674264322023NE000209";"33903014";"MATERIAL EDUCATIVO E ESPORTIVO";"0,00";"0,00";"0,00";"0,00"
"154674264322024NS000018";"154674264322023NE000209";"33903014";"MATERIAL EDUCATIVO E ESPORTIVO";"0,00";"0,00";"0,00";"0,00"
"154674264322024NS000019";"154674264322023NE000209";"33903014";"MATERIAL EDUCATIVO E ESPORTIVO";"0,00";"0,00";"0,00";"0,00"
"154679264232024NS000001";"158134264232023NE000672";"33903041";"MATERIAL P/ UTILIZACAO EM GRAFICA";"0,00";"0,00";"0,00";"0,00"
"154679264232024NS000002";"158134264232023NE000829";"33903024";"MATERIAL P/ MANUT.DE BENS IMOVEIS/INSTALACOES";"0,00";"0,00";"0,00";"0,00"
"154811264122024NS000003";"154811264122023NE000239";"33903017";"MATERIAL DE TIC - MATERIAL DE CONSUMO";"0,00";"0,00";"0,00";"0,00"
"154853264182024NS000003";"154853264182023NE000122";"33903017";"MATERIAL DE TIC - MATERIAL DE CONSUMO";"0,00";"0,00";"0,00";"0,00"
"154863152522024NS000146";"154863152522024NE000010";"33901801";"BOLSAS DE ESTUDO NO PAIS";"-450,00";"0,00";"0,00";"0,00"
"155001152752024NS001168";"155001152752023NE019783";"33903009";"MATERIAL FARMACOLOGICO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS001201";"155001152752023NE035546";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS001201";"155001152752023NE034569";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS001202";"155001152752023NE018912";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS001208";"155001152752023NE033066";"33903901";"ASSINATURAS DE PERIODICOS E ANUIDADES";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS001209";"155001152752023NE035421";"33903917";"MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS001210";"155001152752023NE035685";"33903009";"MATERIAL FARMACOLOGICO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS001211";"155001152752023NE020827";"33903917";"MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS001213";"155001152752023NE035744";"33903009";"MATERIAL FARMACOLOGICO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS001214";"155001152752023NE020827";"33903917";"MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS001235";"155001152752023NE034573";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS001235";"155001152752023NE033873";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS001235";"155001152752023NE028728";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS001235";"155001152752023NE020110";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS001236";"155001152752023NE034399";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS001237";"155001152752023NE034801";"33903036";"MATERIAL HOSPITALAR";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS001238";"155001152752023NE034578";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS001239";"155001152752023NE031353";"33903021";"MATERIAL DE COPA E COZINHA";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS001298";"155001152752023NE035546";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS001299";"155001152752023NE029713";"33903036";"MATERIAL HOSPITALAR";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS001300";"155001152752023NE029653";"33903036";"MATERIAL HOSPITALAR";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS001301";"155001152752023NE035546";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS001302";"155001152752023NE029640";"33903036";"MATERIAL HOSPITALAR";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS001303";"155001152752023NE029284";"33903009";"MATERIAL FARMACOLOGICO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS001304";"155001152752023NE035681";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS001306";"155001152752023NE032647";"33903036";"MATERIAL HOSPITALAR";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS001306";"155001152752023NE032050";"33903036";"MATERIAL HOSPITALAR";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS001307";"155001152752023NE035479";"33903009";"MATERIAL FARMACOLOGICO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS001308";"155001152752023NE035546";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
