"Código Liquidação";"Código Liquidação Resumido";"Data Emissão";"Código Tipo Documento";"Tipo Documento";"Código Órgão Superior";"Órgão Superior";"Código Órgão";"Órgão";"Código Unidade Gestora";"Unidade Gestora";"Código Gestão";"Gestão";"Código Favorecido";"Favorecido";"Observação";"Código Categoria de Despesa";"Categoria de Despesa";"Código Grupo de Despesa";"Grupo de Despesa";"Código Modalidade de Aplicação";"Modalidade de Aplicação";"Código Elemento de Despesa";"Elemento de Despesa";"Código Plano Orçamentário";"Plano Orçamentário";"Código Programa Governo";"Nome Programa Governo"
"366003362102024NS001142";"2024NS001142";"02/01/2024";"NS";"Nota de Lançamento de Sistema";"36000";"Ministério da Saúde";"36210";"Hospital Nossa Senhora da Conceição S.A.";"366003";"HOSPITAL NOSSA SENHORA DA CONCEICAO S/A";"36210";"HOSPITAL NOSSA SENHORA DA CONCEICAO S/A";"49324221002077";"FRESENIUS KABI BRASIL LTDA.";"NF 55579 MEDICAMENTOS HNSC, SEST D331 SEST D331 DOC. 02/01/2024";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"30";"Material de Consumo";"0003";"CUSTEIO DAS UNIDADES DO GRUPO HOSPITALAR CONCEICAO";"00";"Sem informação"
"366003362102024NS001568";"2024NS001568";"02/01/2024";"NS";"Nota de Lançamento de Sistema";"36000";"Ministério da Saúde";"36210";"Hospital Nossa Senhora da Conceição S.A.";"366003";"HOSPITAL NOSSA SENHORA DA CONCEICAO S/A";"36210";"HOSPITAL NOSSA SENHORA DA CONCEICAO S/A";"02988857000197";"GLOBALMED SUPORTE DE MATERIAL TERAPEUTICO LTDA";"NF 42805 MATERIAL MEDICO HFE, SEST D3331 SEST D3331 DOC. 02/01/2024";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"30";"Material de Consumo";"0003";"CUSTEIO DAS UNIDADES DO GRUPO HOSPITALAR CONCEICAO";"00";"Sem informação"
"366003362102024NS000903";"2024NS000903";"02/01/2024";"NS";"Nota de Lançamento de Sistema";"36000";"Ministério da Saúde";"36210";"Hospital Nossa Senhora da Conceição S.A.";"366003";"HOSPITAL NOSSA SENHORA DA CONCEICAO S/A";"36210";"HOSPITAL NOSSA SENHORA DA CONCEICAO S/A";"07668083000130";"ILKMED COMERCIO DE MATERIAIS HOSPITALARES LTDA";"NF 103115 ORTESES E PROTESES HNSC, SEST D3921 SEST D3921 DOC. 02/01/2024";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"30";"Material de Consumo";"0003";"CUSTEIO DAS UNIDADES DO GRUPO HOSPITALAR CONCEICAO";"00";"Sem informação"
"366003362102024NS000972";"2024NS000972";"02/01/2024";"NS";"Nota de Lançamento de Sistema";"36000";"Ministério da Saúde";"36210";"Hospital Nossa Senhora da Conceição S.A.";"366003";"HOSPITAL NOSSA SENHORA DA CONCEICAO S/A";"36210";"HOSPITAL NOSSA SENHORA DA CONCEICAO S/A";"07668083000130";"ILKMED COMERCIO DE MATERIAIS HOSPITALARES LTDA";"NF 103352 ORTESES E PROTESES HNSC, SEST D392 SEST D392 DOC. 02/01/2024";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"30";"Material de Consumo";"0003";"CUSTEIO DAS UNIDADES DO GRUPO HOSPITALAR CONCEICAO";"00";"Sem informação"
"366003362102024NS000971";"2024NS000971";"02/01/2024";"NS";"Nota de Lançamento de Sistema";"36000";"Ministério da Saúde";"36210";"Hospital Nossa Senhora da Conceição S.A.";"366003";"HOSPITAL NOSSA SENHORA DA CONCEICAO S/A";"36210";"HOSPITAL NOSSA SENHORA DA CONCEICAO S/A";"07668083000130";"ILKMED COMERCIO DE MATERIAIS HOSPITALARES LTDA";"NF 103329 ORTESES E PROTESES HNSC, SEST D392 SEST D392 DOC. 02/01/2024";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"30";"Material de Consumo";"0003";"CUSTEIO DAS UNIDADES DO GRUPO HOSPITALAR CONCEICAO";"00";"Sem informação"
"366003362102024NS000970";"2024NS000970";"02/01/2024";"NS";"Nota de Lançamento de Sistema";"36000";"Ministério da Saúde";"36210";"Hospital Nossa Senhora da Conceição S.A.";"366003";"HOSPITAL NOSSA SENHORA DA CONCEICAO S/A";"36210";"HOSPITAL NOSSA SENHORA DA CONCEICAO S/A";"07668083000130";"ILKMED COMERCIO DE MATERIAIS HOSPITALARES LTDA";"NF 103327 ORTESES E PROTESES HNSC, SEST D392 SEST D392 DOC. 02/01/2024";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"30";"Material de Consumo";"0003";"CUSTEIO DAS UNIDADES DO GRUPO HOSPITALAR CONCEICAO";"00";"Sem informação"
"366003362102024NS000965";"2024NS000965";"02/01/2024";"NS";"Nota de Lançamento de Sistema";"36000";"Ministério da Saúde";"36210";"Hospital Nossa Senhora da Conceição S.A.";"366003";"HOSPITAL NOSSA SENHORA DA CONCEICAO S/A";"36210";"HOSPITAL NOSSA SENHORA DA CONCEICAO S/A";"07668083000130";"ILKMED COMERCIO DE MATERIAIS HOSPITALARES LTDA";"NF 103322 ORTESES E PROTESES HNSC, SEST D392 SEST D392 DOC. 02/01/2024";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"30";"Material de Consumo";"0003";"CUSTEIO DAS UNIDADES DO GRUPO HOSPITALAR CONCEICAO";"00";"Sem informação"
"366003362102024NS000964";"2024NS000964";"02/01/2024";"NS";"Nota de Lançamento de Sistema";"36000";"Ministério da Saúde";"36210";"Hospital Nossa Senhora da Conceição S.A.";"366003";"HOSPITAL NOSSA SENHORA DA CONCEICAO S/A";"36210";"HOSPITAL NOSSA SENHORA DA CONCEICAO S/A";"07668083000130";"ILKMED COMERCIO DE MATERIAIS HOSPITALARES LTDA";"NF 103242 ORTESES E PROTESES HNSC, SEST D392 SEST D392 DOC. 02/01/2024";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"30";"Material de Consumo";"0003";"CUSTEIO DAS UNIDADES DO GRUPO HOSPITALAR CONCEICAO";"00";"Sem informação"
"366003362102024NS000963";"2024NS000963";"02/01/2024";"NS";"Nota de Lançamento de Sistema";"36000";"Ministério da Saúde";"36210";"Hospital Nossa Senhora da Conceição S.A.";"366003";"HOSPITAL NOSSA SENHORA DA CONCEICAO S/A";"36210";"HOSPITAL NOSSA SENHORA DA CONCEICAO S/A";"07668083000130";"ILKMED COMERCIO DE MATERIAIS HOSPITALARES LTDA";"NF 103241 ORTESES E PROTESES HNSC, SEST D392 SEST D392 DOC. 02/01/2024";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"30";"Material de Consumo";"0003";"CUSTEIO DAS UNIDADES DO GRUPO HOSPITALAR CONCEICAO";"00";"Sem informação"
"366003362102024NS000961";"2024NS000961";"02/01/2024";"NS";"Nota de Lançamento de Sistema";"36000";"Ministério da Saúde";"36210";"Hospital Nossa Senhora da Conceição S.A.";"366003";"HOSPITAL NOSSA SENHORA DA CONCEICAO S/A";"36210";"HOSPITAL NOSSA SENHORA DA CONCEICAO S/A";"07668083000130";"ILKMED COMERCIO DE MATERIAIS HOSPITALARES LTDA";"NF 103240 ORTESES E PROTESES HNSC, SEST D3921 SEST D3921 DOC. 02/01/2024";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"30";"Material de Consumo";"0003";"CUSTEIO DAS UNIDADES DO GRUPO HOSPITALAR CONCEICAO";"00";"Sem informação"
"155001152752024NS001309";"2024NS001309";"02/01/2024";"NS";"Nota de Lançamento de Sistema";"26000";"Ministério da Educação";"26294";"Hospital de Clínicas de Porto Alegre";"155001";"HOSPITAL DE CLINICAS DE PORTO ALEGRE";"15275";"HOSPITAL DE CLINICAS DE PORTO ALEGRE";"14169702000108";"COOPERATIVA DE AGRICULTORES E AGROINDUSTRIAS FAMILIARES";"FORNECEDOR: 14.169.702/0001-08 - COOP DE AGRICULT E AGROIND FAMILIARES DE CAXIAS DO SUL LTDA - LIQUIDACAO DE DESPESA REF. A NF 100836, NR 1139069 R$ 449.42 CCUSTO DE APLICACAO 44105, AF 152051/1";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"30";"Material de Consumo";"-1";"Sem informação";"-1";"Sem informação"
"155001152752024NS002534";"2024NS002534";"02/01/2024";"NS";"Nota de Lançamento de Sistema";"26000";"Ministério da Educação";"26294";"Hospital de Clínicas de Porto Alegre";"155001";"HOSPITAL DE CLINICAS DE PORTO ALEGRE";"15275";"HOSPITAL DE CLINICAS DE PORTO ALEGRE";"05274036000187";"VIA QUALITA SUPERMERCADO LTDA";"FORNECEDOR: 05.274.036/0001-87 - VIA QUALITA SUPERMERCADO LTDA ME - LIQUIDACAO DE DESPESA REF. A NF 13006, NR 1139424 R$ 3380.81 CCUSTO DE APLICACAO 44105, AF 151507/4";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"30";"Material de Consumo";"-1";"Sem informação";"-1";"Sem informação"
"155001152752024NS002531";"2024NS002531";"02/01/2024";"NS";"Nota de Lançamento de Sistema";"26000";"Ministério da Educação";"26294";"Hospital de Clínicas de Porto Alegre";"155001";"HOSPITAL DE CLINICAS DE PORTO ALEGRE";"15275";"HOSPITAL DE CLINICAS DE PORTO ALEGRE";"05274036000187";"VIA QUALITA SUPERMERCADO LTDA";"FORNECEDOR: 05.274.036/0001-87 - VIA QUALITA SUPERMERCADO LTDA ME - LIQUIDACAO DE DESPESA REF. A NF 13005, NR 1139421 R$ 3006.48 CCUSTO DE APLICACAO 44105, AF 151501/4";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"30";"Material de Consumo";"-1";"Sem informação";"-1";"Sem informação"
"120073000012024NS000040";"2024NS000040";"02/01/2024";"NS";"Nota de Lançamento de Sistema";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120073";"BASE AEREA DE FLORIANOPOLIS";"00001";"TESOURO NACIONAL";"05389447000118";"CRISTIANE MALVINA AMARAL BREHM LUIZ";"|| APL: BAFL - NF 17683 DE 19/12/2023 UG. 120073 BAFL PROCESSO 67272004194202215";"-1";"Sem informação";"-1";"Sem informação";"-1";"Sem informação";"-1";"Sem informação";"-1";"Sem informação";"-1";"Sem informação"
"120073000012024NS000039";"2024NS000039";"02/01/2024";"NS";"Nota de Lançamento de Sistema";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120073";"BASE AEREA DE FLORIANOPOLIS";"00001";"TESOURO NACIONAL";"05389447000118";"CRISTIANE MALVINA AMARAL BREHM LUIZ";"|| APL: BAFL - NF 17690 DE 27/12/2023 UG. 120073 BAFL PROCESSO 67272004194202215";"-1";"Sem informação";"-1";"Sem informação";"-1";"Sem informação";"-1";"Sem informação";"-1";"Sem informação";"-1";"Sem informação"
"152290264222024NS000150";"2024NS000150";"02/01/2024";"NS";"Nota de Lançamento de Sistema";"26000";"Ministério da Educação";"26422";"Instituto Federal Catarinense";"152290";"IF CATARINENSE - CAMPUS S. FRANCISCO DO SUL";"26422";"INST.FED.DE EDUC.,CIENC.E TEC.CATARINENSE";"78126950001126";"MICROSENS S/A";"LIQUIDACAO DA NF 3216, REFERENTE AO SERVICO DE OUTSOURCING DE IMPRESSAO COM FRANQUIA DE COPIAS MENSAIS,CAMPUS SFS, SERVICO PRESTADO NO MES 10/2023, CONTRATO Nº 01/2020, PE N¤ 9/2018, PROCESSO N 23476.000156/2020-51, RESPONSAVEL RICARDO GRACIANO MONTEIRO FRANKE";"MU";"Múltiplo";"MU";"Múltiplo";"MU";"Múltiplo";"MU";"Múltiplo";"-1";"Sem informação";"-1";"Sem informação"
"155914264432024NS000135";"2024NS000135";"02/01/2024";"NS";"Nota de Lançamento de Sistema";"26000";"Ministério da Educação";"26443";"Empresa Brasileira de Serviços Hospitalares";"155914";"HOSPITAL UNIVERSITARIO ALCIDES CARNEIRO";"26443";"EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES";"00799421000124";"MARIA DO SOCORRO SANTOS BASILIO";"PAGAMENTO DA NOTA FISCAL/DANFE Nº 1918, EMITIDA EM 29/12/2023, REFERENTE A AQUISICAO DE GENEROS ALIMENTICIOS (AGUA MINERAL). CAT01-CONTRATO Nº 13/2022 - PREGAO ELETRONICO Nº 45/2022. OPTANTE SIMPLES NACIONAL. PROCESSO SEI Nº 23769.000037/2024-37.";"MU";"Múltiplo";"MU";"Múltiplo";"MU";"Múltiplo";"MU";"Múltiplo";"-1";"Sem informação";"-1";"Sem informação"
"155001152752024NS001730";"2024NS001730";"02/01/2024";"NS";"Nota de Lançamento de Sistema";"26000";"Ministério da Educação";"26294";"Hospital de Clínicas de Porto Alegre";"155001";"HOSPITAL DE CLINICAS DE PORTO ALEGRE";"15275";"HOSPITAL DE CLINICAS DE PORTO ALEGRE";"49351786001152";"BAXTER HOSPITALAR LTDA";"FORNECEDOR: 49.351.786/0011-52 - BAXTER HOSPITALAR LTDA - LIQUIDACAO DE DESPESA REF. A NF 293964, NR 1139152 R$ 14664 CCUSTO DE APLICACAO 44300, AF 151624/4";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"30";"Material de Consumo";"-1";"Sem informação";"-1";"Sem informação"
"155001152752024NS001315";"2024NS001315";"02/01/2024";"NS";"Nota de Lançamento de Sistema";"26000";"Ministério da Educação";"26294";"Hospital de Clínicas de Porto Alegre";"155001";"HOSPITAL DE CLINICAS DE PORTO ALEGRE";"15275";"HOSPITAL DE CLINICAS DE PORTO ALEGRE";"01772798000667";"MEDTRONIC COMERCIAL LTDA";"FORNECEDOR: 01.772.798/0006-67 - MEDTRONIC COMERCIAL LTDA - LIQUIDACAO DE DESPESA REF. A NF 398977, NR 1139079 R$ 1562 CCUSTO DE APLICACAO 44105, AF 151928/1";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"30";"Material de Consumo";"-1";"Sem informação";"-1";"Sem informação"
"366003362102024NS000852";"2024NS000852";"02/01/2024";"NS";"Nota de Lançamento de Sistema";"36000";"Ministério da Saúde";"36210";"Hospital Nossa Senhora da Conceição S.A.";"366003";"HOSPITAL NOSSA SENHORA DA CONCEICAO S/A";"36210";"HOSPITAL NOSSA SENHORA DA CONCEICAO S/A";"22370374000131";"DINDA CARNES LTDA";"NF 85577 GENEROS ALIMENTICIOS HCR, SEST D339 SEST D339 DOC. 02/01/2024";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"30";"Material de Consumo";"-1";"Sem informação";"-1";"Sem informação"
"155001152752024NS001869";"2024NS001869";"02/01/2024";"NS";"Nota de Lançamento de Sistema";"26000";"Ministério da Educação";"26294";"Hospital de Clínicas de Porto Alegre";"155001";"HOSPITAL DE CLINICAS DE PORTO ALEGRE";"15275";"HOSPITAL DE CLINICAS DE PORTO ALEGRE";"04809375000158";"LIDER PAN LTDA";"FORNECEDOR: 04.809.375/0001-58 - LIDER PAN LTDA - LIQUIDACAO DE DESPESA REF. A NF 90247, NR 1139394 R$ 1567 CCUSTO DE APLICACAO 45110, AF 151505/1";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"30";"Material de Consumo";"-1";"Sem informação";"-1";"Sem informação"
"275060272082024NS000045";"2024NS000045";"02/01/2024";"NS";"Nota de Lançamento de Sistema";"56000";"Ministério das Cidades";"29205";"Empresa de Trens Urbanos de Porto Alegre";"275060";"EMPRESA DE TRENS URBANOS DE PORTO ALEGRE S/A";"27208";"EMPRESA DE TRENS URBANOS DE PORTO ALEGRE S/A";"26855539000116";"EXCELENCIA EDUCACAO E ENSINO LTDA";"NF 1598 - EXCELENCIA EDUCACAO E ENSINO LTDAZOC: 48371";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"39";"Outros Serviços de Terceiros - Pessoa Juríd";"0000";"CAPACITACAO DE RECURSOS HUMANOS PARA TRANSPORTES COLETIVOS URBANOS - DESPESAS DIVERSAS";"00";"Sem informação"
"158432264292024NS000067";"2024NS000067";"02/01/2024";"NS";"Nota de Lançamento de Sistema";"26000";"Ministério da Educação";"26429";"Instituto Federal de Educação, Ciência e T";"158432";"INST.FED.DE GOIAS/CAMPUS INHUMAS";"26429";"INST.FED.DE EDUC.,CIENC.E TEC.DE GOIAS";"01006345000115";"DUQUE DE CAXIAS SERVICOS LTDA";"PAGAMENTO DA NFS-E 2247 REFERENTE AOS SERVICOS PRESTADOS NO MES 12/2023, CONTRATO 2/2022. SERVICO DE MOTORISTAS, INCLUINDO O PAGAMENTO DE DIARIAS, COM DISPONIBILIZACAO DE MAO DE OBRA EM REGIME DE DEDICACAO EXCLUSIVA.";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"37";"Locação de Mão-de-Obra";"0000";"FUNCIONAMENTO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA";"00";"Sem informação"
"155001152752024NS001314";"2024NS001314";"02/01/2024";"NS";"Nota de Lançamento de Sistema";"26000";"Ministério da Educação";"26294";"Hospital de Clínicas de Porto Alegre";"155001";"HOSPITAL DE CLINICAS DE PORTO ALEGRE";"15275";"HOSPITAL DE CLINICAS DE PORTO ALEGRE";"04809375000158";"LIDER PAN LTDA";"FORNECEDOR: 04.809.375/0001-58 - LIDER PAN LTDA - LIQUIDACAO DE DESPESA REF. A NF 89996, NR 1139076 R$ 1800 CCUSTO DE APLICACAO 44105, AF 151505/1";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"30";"Material de Consumo";"-1";"Sem informação";"-1";"Sem informação"
